Laptop_Brand,Laptop_Price,Laptop_Old_Price,Laptop_Discount,Laptop_Ratings,Scraped_At
"Lenovo Refurbished ThinkPad Yoga 11e  X360 Intel -Touchscreen- 11.6""- 4GB RAM - SSD 128GB - Black","KSh 11,499","KSh 22,500",49%,4 out of 5(153),2025-02-28 19:41:54
"HP Refurbished EliteBook 8470p Core I5 - HDD 500GB - 8GB RAM WIFI CAM Silver - 14"" (6 Months WRTY)","KSh 13,999","KSh 23,000",39%,3.7 out of 5(44),2025-02-28 19:41:54
Lenovo Refurbished Thinkpad Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black  (6 Months WRTY),"KSh 15,999","KSh 37,500",57%,3.4 out of 5(74),2025-02-28 19:41:55
"HP Refurbished Elitebook 820  Core  I5, 8GB RAM 500GB  HDD -12.5"", Black  (6 Months WRTY)","KSh 16,999","KSh 29,999",43%,4 out of 5(225),2025-02-28 19:41:56
"Lenovo Renewed ThinkPad Yoga 11e Touch Screen Intel Celeron 4GB 128GB SSD 11.6""","KSh 11,320","KSh 22,000",49%,4.1 out of 5(13),2025-02-28 19:41:57
"Lenovo ThinkPad X260 Intel Core I5, 8GB RAM, 256GB SSD, 12.5'' REFURBISHED","KSh 15,999","KSh 28,000",43%,4 out of 5(41),2025-02-28 19:41:57
Lenovo Refurbished Thinkpad 11E  Celeron - 4 GB RAM - SSD 128GB 11.6'' - Black  (6 Months WRTY),"KSh 11,399","KSh 19,500",42%,4.1 out of 5(47),2025-02-28 19:41:58
Lenovo Refurbished Thinkpad X250 Intel Core I5 8 GB RAM 256GB SSD 12.5'' Black  (6 Months WRTY),"KSh 15,899","KSh 37,500",58%,4.5 out of 5(14),2025-02-28 19:41:59
"HP EliteBook 840 G2 Refurbished Intel Core I5 -8GB Ram -256GB SSD-Black-14""","KSh 18,999","KSh 30,000",37%,4.3 out of 5(22),2025-02-28 19:42:00
"HP 11 G6 EE 11.6"" LCD Chromebook - Intel Celeron N3350 Dual-core - 4GB LPDDR4 -16GB SSD - WiFi- Camera - Type C- Chrome OS - Refurb  (6 Months WRTY)","KSh 8,599","KSh 9,999",14%,3.5 out of 5(4),2025-02-28 19:42:01
"HP Refurbished Probook 640   Core I5   500 HDD- 8GB RAM -14""  - Black  (6 Months WRTY)","KSh 15,999","KSh 29,999",47%,3.5 out of 5(21),2025-02-28 19:42:01
"HP Refurbished EliteBook 8460p Core I5 - HDD 500GB - 4GB RAM WIFI CAM Silver - 14"" (6 Months WRTY)","KSh 12,899","KSh 22,000",41%,3.8 out of 5(60),2025-02-28 19:42:02
"HP Refurbished Elitebook 840  Core  I5, Slim Model ,  8GB RAM 500GB  HDD -14"", Black  (6 Months WRTY)","KSh 17,999","KSh 29,999",40%,3.6 out of 5(113),2025-02-28 19:42:03
"HP Refurbished Elitebook 840  G3 6th Gen  ,  Core I5, 8GB RAM- SSD 256gb + 500gb Hdd -14""  (6 Months WRTY)","KSh 21,999","KSh 46,999",53%,3.8 out of 5(21),2025-02-28 19:42:04
"Lenovo Thinkpad Refurbished ThinkPad Yoga 11e X360 Celeron -Touchscreen- 11.6""- 4GB RAM - SSD 128GB","KSh 11,800","KSh 20,000",41%,3.7 out of 5(10),2025-02-28 19:42:04
"HP Refurbished EliteBook RAM 8GB HDD 500GB Core I5 14"" Windows, Office Basic Software Installed","KSh 14,699","KSh 21,999",33%,4.1 out of 5(15),2025-02-28 19:42:05
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 21,800","KSh 35,000",38%,3.7 out of 5(27),2025-02-28 19:42:06
HP HP REFURBISHED ELITEBOOK 840 G3 CORE I5 8GB 256GB SSD 14'' 6TH GEN (6Months WRTY),"KSh 21,499","KSh 31,000",31%,3.3 out of 5(15),2025-02-28 19:42:07
"Lenovo Refurbished Thinkpad X250 Intel Core I5, 8GB RAM, 500GB HDD, 12.5'' Black Win 10","KSh 15,495","KSh 27,000",43%,4.1 out of 5(16),2025-02-28 19:42:08
Lenovo Refurbished Thinkpad X250 Intel Core I5 4 GB RAM 500 GB HDD 12.5'' Black  (6 Months WRTY),"KSh 14,999","KSh 37,500",60%,3.8 out of 5(13),2025-02-28 19:42:09
"HP Refurbished EliteBook 820 Core I5, 8GB RAM 500GB HDD -12.5inch , Black","KSh 16,399","KSh 27,000",39%,3.1 out of 5(8),2025-02-28 19:42:09
"Lenovo Refurbished ThinkPad Yoga 11e Touch Screen Intel Celeron 4GB 128GB SSD 11.6""","KSh 11,398","KSh 25,000",54%,3 out of 5(2),2025-02-28 19:42:10
"Lenovo ThinkPad T490 Touchscreen Core I5 -8th Gen-8GB RAM-256GB SSD-Refurbished 14""-Black-Win 11 (6 Months WRTY)","KSh 27,999","KSh 38,000",26%,3.9 out of 5(20),2025-02-28 19:42:11
HP 6th Gen 640  Refurbished Intel Core I5 ProBook 500GB HDD 8GB RAM,"KSh 19,999","KSh 50,000",60%,3.8 out of 5(11),2025-02-28 19:42:12
"HP Refurbished Elitebook 840   Touchscreen Core  I5, 8GB RAM 500GB   -14"", Black  (6 Months WRTY)","KSh 19,999","KSh 29,999",33%,4.2 out of 5(9),2025-02-28 19:42:12
"HP Refurbished Elitebook  820 G3 6th Gen  ,  Corei5, 8GB RAM-SSD 256GB -12.5"", Sliver","KSh 19,399","KSh 32,500",40%,3.7 out of 5(29),2025-02-28 19:42:13
"Lenovo Refurbished Thinkpad X131e - 11.6"" - Intel Dual-Ccore - 4GB RAM - 320GB HDD - Black (6 Months WRTY)","KSh 11,899","KSh 14,999",21%,3.8 out of 5(66),2025-02-28 19:42:14
"Lenovo Refurbished Yoga 11e , 11.6"" Touchscreen Intel Celeron - 128GB SSD- 8GB RAM,X360","KSh 13,897","KSh 24,000",42%,4.1 out of 5(11),2025-02-28 19:42:15
"HP EliteBook 820 G1 Core I5 8GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished,  (6 Months WRTY)","KSh 18,399","KSh 25,759",29%,3.7 out of 5(74),2025-02-28 19:42:15
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 22,399","KSh 34,000",34%,3.3 out of 5(12),2025-02-28 19:42:16
"HP Refurbished EliteBook 820, Intel Core I5, Slim Model ,8GB RAM , 500HDD, Black- 12.5"" (6 Months WRTY)","KSh 16,399","KSh 29,666",45%,4.8 out of 5(6),2025-02-28 19:42:17
"DELL Core I5, 8GB, 256 GB SSD Windows 10 Trial Refurbished Latitude 7440, 14.0'',","KSh 16,999","KSh 40,000",58%,4 out of 5(1),2025-02-28 19:42:18
HP EliteBook 820 G3 Intel Core I5 8GB-256GB SSD Silver-12.6 inch Refurbished,"KSh 19,390","KSh 32,000",39%,3.5 out of 5(6),2025-02-28 19:42:18
"HP Refurbished Probook 430 G5 Intel(R) Core(TM) I5 7th Gen 8 GB RAM 128 SSD Windows 10 14""","KSh 18,605","KSh 25,999",28%,4.5 out of 5(6),2025-02-28 19:42:19
HP 16 GB RAM Elitebook 840 G1 &1 TB Storage Refurbished Intel Core I7,"KSh 26,000","KSh 45,000",42%,4.4 out of 5(8),2025-02-28 19:42:20
"HP REFURBISHED PROBOOK X360 11 G4 EE, INTEL CORE I5 8TH GEN, 8GB RAM AND 128GB SSD, TOUCHSCREEN","KSh 18,000","KSh 29,000",38%,,2025-02-28 19:42:21
HP EliteBook 820 G3 Intel Core I5 8GB-256GB SSD Silver-12.6 Inch Refurbished (6 Months WRTY),"KSh 19,499","KSh 34,999",44%,4 out of 5(6),2025-02-28 19:42:22
"HP REFURBISED Pavilion P7 DESKTOP -Intel Core I3 4GB, 500GB HDD, Win10 64bit","KSh 5,599","KSh 8,000",30%,,2025-02-28 19:42:22
Lenovo Refurbished Thinkpad X250 Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black  (6 Months WRTY),"KSh 15,999","KSh 37,500",57%,3.5 out of 5(8),2025-02-28 19:42:23
"HP Refurbished EliteBook 840 G3 Intel Core I5 6th Gen 8GB, 128 GB SSD 500GB HDD WIN 10 Trial","KSh 23,500","KSh 65,000",64%,4 out of 5(3),2025-02-28 19:42:24
